# NPB_GAMES_DATA
# UPDATED: 2025-09-04T17:48:48.535093
# FORMAT: DATE|HOME_ID|HOME_ABBR|HOME_NAME|AWAY_ID|AWAY_ABBR|AWAY_NAME|HOME_SCORE|AWAY_SCORE|LEAGUE|STATUS|IS_DRAW
2025-04-08|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|2|5|Pacific|completed|0
2025-04-09|3|YDB|横浜DeNAベイスターズ|1|YOG|読売ジャイアンツ|3|6|Central|completed|0
2025-04-09|5|CHU|中日ドラゴンズ|4|HIR|広島東洋カープ|3|1|Central|completed|0
2025-04-09|2|HAN|阪神タイガース|6|YAK|東京ヤクルトスワローズ|3|5|Central|completed|0
2025-04-09|9|RAK|東北楽天ゴールデンイーグルス|12|NIP|北海道日本ハムファイターズ|2|8|Pacific|completed|0
2025-04-09|11|SEI|埼玉西武ライオンズ|8|LOT|千葉ロッテマリーンズ|2|0|Pacific|completed|0
2025-04-09|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|9|10|Pacific|completed|0
2025-04-10|5|CHU|中日ドラゴンズ|4|HIR|広島東洋カープ|1|2|Central|completed|0
2025-04-10|9|RAK|東北楽天ゴールデンイーグルス|12|NIP|北海道日本ハムファイターズ|0|10|Pacific|completed|0
2025-04-10|10|ORI|オリックスバファローズ|7|SOF|福岡ソフトバンクホークス|1|1|Pacific|completed|1
2025-04-11|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|6|3|Central|completed|0
2025-04-11|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|12|3|Central|completed|0
2025-04-11|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|2|0|Pacific|completed|0
2025-04-11|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|1|4|Pacific|completed|0
2025-04-11|8|LOT|千葉ロッテマリーンズ|7|SOF|福岡ソフトバンクホークス|4|5|Pacific|completed|0
2025-04-12|3|YDB|横浜DeNAベイスターズ|6|YAK|東京ヤクルトスワローズ|5|4|Central|completed|0
2025-04-12|2|HAN|阪神タイガース|5|CHU|中日ドラゴンズ|2|3|Central|completed|0
2025-04-12|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|1|0|Central|completed|0
2025-04-12|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|1|2|Pacific|completed|0
2025-04-12|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|2|4|Pacific|completed|0
2025-04-12|8|LOT|千葉ロッテマリーンズ|7|SOF|福岡ソフトバンクホークス|0|8|Pacific|completed|0
2025-04-13|4|HIR|広島東洋カープ|1|YOG|読売ジャイアンツ|5|3|Central|completed|0
2025-04-13|12|NIP|北海道日本ハムファイターズ|11|SEI|埼玉西武ライオンズ|2|7|Pacific|completed|0
2025-04-13|9|RAK|東北楽天ゴールデンイーグルス|10|ORI|オリックスバファローズ|1|6|Pacific|completed|0
2025-04-15|1|YOG|読売ジャイアンツ|3|YDB|横浜DeNAベイスターズ|1|0|Central|completed|0
2025-04-15|6|YAK|東京ヤクルトスワローズ|2|HAN|阪神タイガース|1|5|Central|completed|0
2025-04-15|4|HIR|広島東洋カープ|5|CHU|中日ドラゴンズ|7|1|Central|completed|0
2025-04-15|8|LOT|千葉ロッテマリーンズ|12|NIP|北海道日本ハムファイターズ|3|9|Pacific|completed|0
2025-04-15|10|ORI|オリックスバファローズ|11|SEI|埼玉西武ライオンズ|2|0|Pacific|completed|0
2025-04-15|7|SOF|福岡ソフトバンクホークス|9|RAK|東北楽天ゴールデンイーグルス|1|2|Pacific|completed|0
2025-04-16|1|YOG|読売ジャイアンツ|3|YDB|横浜DeNAベイスターズ|5|0|Central|completed|0
2025-04-16|4|HIR|広島東洋カープ|5|CHU|中日ドラゴンズ|0|2|Central|completed|0
2025-04-16|8|LOT|千葉ロッテマリーンズ|12|NIP|北海道日本ハムファイターズ|4|0|Pacific|completed|0
2025-04-16|10|ORI|オリックスバファローズ|11|SEI|埼玉西武ライオンズ|0|5|Pacific|completed|0
2025-04-16|7|SOF|福岡ソフトバンクホークス|9|RAK|東北楽天ゴールデンイーグルス|2|6|Pacific|completed|0
2025-04-17|1|YOG|読売ジャイアンツ|3|YDB|横浜DeNAベイスターズ|1|9|Central|completed|0
2025-04-17|6|YAK|東京ヤクルトスワローズ|2|HAN|阪神タイガース|5|7|Central|completed|0
2025-04-17|10|ORI|オリックスバファローズ|11|SEI|埼玉西武ライオンズ|2|3|Pacific|completed|0
2025-04-17|7|SOF|福岡ソフトバンクホークス|9|RAK|東北楽天ゴールデンイーグルス|3|4|Pacific|completed|0
2025-04-18|6|YAK|東京ヤクルトスワローズ|1|YOG|読売ジャイアンツ|2|7|Central|completed|0
2025-04-18|2|HAN|阪神タイガース|4|HIR|広島東洋カープ|2|5|Central|completed|0
2025-04-18|9|RAK|東北楽天ゴールデンイーグルス|8|LOT|千葉ロッテマリーンズ|1|4|Pacific|completed|0
